creator,filename,objectid,object_type,title,date,subject_date,subject_date_notes,description,subject,methodology,field,advisor,location,latitude,longitude,source,identifier,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
"Arias, Lesly",enght001.pdf,ht001,thesis,“Pairing: Reader x Angst”: An Autoethnographic Look into how Readers Develop Attachments to Romantic Angst Fanfiction,2024-05,2005,Twilight is published.,"Introduction: ""Most people decide what their favorite book is based on how the story within made them feel. For those who revel in remembrance, their favorite book might have made them feel nostalgic for something that once was. For those who seek out excitement, their favorite book might have made them feel a thrill unlike any other. In any case, people tend to associate their favorite books with feelings they enjoy, and which they might like to relive every once in a while. As this is a pretty universal idea, you might be able to imagine my confusion when I realized that my favorite stories make me feel terrible. . . .""",fanfiction; angst; romance; reading; young adult; love; trauma; Twilight,qualitative research; autoethnography; textual analysis,writing studies; literary studies,Rachel Herzl-Betz,East Career Technical Academy,36.13680991,-115.0271669,,,English,,,pdf,enght001.pdf,/objects/enght001.pdf,/objects/small/enght001_sm.jpg,/objects/thumbs/enght001_th.jpg,,
"Baker, Asa",enght002.pdf,ht002,thesis,Stories That Teach Gentlesness: How Gentleness Can Impact the Teaching of Difficult Content,2024-05,2017,"Hannah Gadsby's comedy performance, Nanette, premieres on Netflix.","Introduction: ""This thesis aims to examine how storytellers with trauma are telling their audiences how to care for their stories and how approaching these stories in the classroom, while important, needs to be done with a sense of gentleness for all involved. To do this, Carol Gilligan's In a Human Voice, Syvlia Wynter's On Being Human as Praxis, and Sarah Truman's ""Inhuman literacies and affective refusals"" will be used as theoretical frames to examine Hannah Gadsby's Nannette and my poetry within these concepts. . . . """,pedagogy; poetry; family; teaching; Nanette; Andrea Gibson; classroom; Hannah Gadsby; Carol Gilligan; Sylvia Wynter; vulnerability; gentleness,textual analysis; creative writing; archival analysis,literary studies; education,Molly Appel,Las Vegas Valley,36.17090765,-115.144801,,,English,,,pdf,enght002.pdf,/objects/enght002.pdf,/objects/small/enght002_sm.jpg,/objects/thumbs/enght002_th.jpg,,
"Bowler, Allison",enght003.pdf,ht003,thesis,"My Loneliness is Killing Me (But So Are You): How The Mortal Instruments Series Instills the Misogynist Notion in Young Adult Readers That ""To Love is to Destroy""",2022-05,2007-05,The first book in The Mortal Instruments series is published.,"Abstract: Some of the most tumultuous years of a person’s life happen during adolescence, and young adult (YA) series like The Mortal Instruments by Cassandra Clare can often portray love as needing pain, sacrifice, or trauma to make it worthwhile. However, this depiction of the ideal adolescent romance often instills in young readers’ minds that violence—physical as well as verbal—within a relationship is a sign of adoration and devotion instead of the “red flag” warning of abuse that it really is. Like many other authors writing similar stories for young adults, Clare claims that her series is “feminist” because of its leading female characters, but the presence and justification of these abusive relationships implies more internalized misogyny than the author may have originally realized and makes these stories far less feminist than they claim to be. In this essay, I explore how this harmful depiction of romantic relationships and pseudo-feminism in The Mortal Instruments series warp young readers’, especially young girls’, concepts of what heterosexual love is meant to look like.",young adult; romance; love; trauma; Cassandra Clare; abuse; The Mortal Instruments; City of Bones,textual analysis,literary studies,Joanna Shearer,,,,,,English,,,pdf,enght003.pdf,/objects/enght003.pdf,/objects/small/enght003_sm.jpg,/objects/thumbs/enght003_th.jpg,,
"Burch, Ruby",enght004.pdf,ht004,thesis,Ten Thousand Silver Spoons,2024-05,,,"Chapter One: ""Tinkle Plaza reeked like burnt toast, that was the first thing Graham Johannek noticed as he entered through the threshold and into the lobby. He let the flimsy metal door squeak shut behind him, and walked the tightrope of sunlight strands that draped over the carpet beneath his feet. The lobby boasted a staggering five story tall central atrium, and had been split into thirds by intricately crafted wood beams and expertly placed— though decrepit— oak cabinets still stuffed with glittering photographs. Each footfall of Graham’s resulted in a plume of dust that curled up around his foot; and when he raised his foot, the newly exposed swirling red pattern gasped for air. . . . """,,creative writing,creative writing,Emily Hoover,Las Vegas,36.17090765,-115.144801,,,English,,,pdf,enght004.pdf,/objects/enght004.pdf,/objects/small/enght004_sm.jpg,/objects/thumbs/enght004_th.jpg,,
"Clancy, Payton",enght006.pdf,ht005,thesis,"Student and Educator of Color Perspectives in Educational Environments: ""Not Here to Be Quiet""",2025-05,,,"Introduction: ""What if I told you that everything you thought you knew about English as a taught subject was based on the language and ideologies of white supremacy? Would you believe me? I don’t know if I would believe me either, as it's so brushed over in our society that we categorize what we learn in English classes as “normal” or “proper” without even taking a second glance. This is why when I started my journey through writing studies courses in my undergraduate studies, I was left in shock. Everything I knew about the English I wrote and spoke in school was based on whiteness being superior to every race and identity, and I was mortified. The English I spoke with friends and family, however, was not “standard English,” in fact, it was far from it. This was the English that was then encouraged to me in college, and soon, I began research on other forms of English that are not included in English classrooms but should be.""",education; translanguaging; teaching; black women; students,qualitative research; interviews; creative writing,creative writing; education,Emily Hoover,Las Vegas,36.17090765,-115.144801,,,English,,,pdf,enght006.pdf,/objects/enght006.pdf,/objects/small/enght006_sm.jpg,/objects/thumbs/enght006_th.jpg,,
"Diaz, Juan",enght008.pdf,ht006,thesis,"Risa y Muerte: The Literary Calavera, and the Mexican Intimacy with Death",2023-12,1968,"Max Aub publishes Mucha muerte, a collection of microfictions.","Abstract: When I speak of my short time in Mexico—up until the age of 5—it seems to come across in bits and fragments closer to dreams, ghost stories and distorted memories than anything mirroring reality. Yet, when retelling such chimeric stories to my hispanic relatives, such recollections are treated as facts of life. It is precisely this counter-intuitive merging between life and death, within Mexican culture, that this paper aims to capture. In order to explore this intimacy and attitude towards death, this paper uses the epitaph-like art form of the literary calaverita as a microcosm of Mexican identity. The literary calavera deliberately blends together: death, humor, spectacle, myth, mysticism, and the absurd in a surrealist scenario where death comes for our dear loved ones. In using the literary calavera as stand in for Mexican culture, this paper than conducts a comparative literature analysis through the usage of Chicano and Mexican literature such as Ana Castillo’s So Far From God, John Philip Santos, Places Left Unfinished at the Time of Creation, Octavio Paz’s The Labyrinth of Solitude, and Max Aub’s Mucha Muerte. Carlos Reygadas’ debut film Japón also plays a vital role developing this understanding. Lastly, give the notion that such an exploration of Mexican identity focuses heavily on a communal form of storytelling and myth, I add my own literary calaveras, and short vignettes of my own experience where counter-intuitive instances between life and death take place.",humor; death; calavera; Mexico; Mexican-American; Latin America; Max Aub; Mucha Muerte; John Phillip Santos; Places Left Unfinished at the Time of Creation; Ana Castillo; So Far From God,textual analysis; creative writing,literary studies,Molly Appel,Mexico City,19.43340174,-99.13058222,,,English; Spanish,,,pdf,enght008.pdf,/objects/enght008.pdf,/objects/small/enght008_sm.jpg,/objects/thumbs/enght008_th.jpg,,
"Elizenberry, Arika E.",enght009.pdf,ht007,thesis,Uncomfortable Rhetorics: The Intersections of Black Womanhood in Autobiographical Narratives,2020-05,1925-10-12,Essie Mae Washington Williams is born,"Introduction: ""The speaker of Lucille Clifton’s poem has been accused of “tending to the past”—of somehow contributing to the production of history, but that she also claims agency over a responsibility she did not ask for. It becomes “monstrous” in that the speaker has the undertaking of weaving together the different fabrics of history. In my research project, I too am tending to the past because I am reclaiming authority over enslaved Black women’s autobiographical narratives, which have been obscured and erased from history. I am confronting unpleasant aspects of history in texts where slavery, sexual and systemic violence, and disenfranchisement intersect. I will allow the narratives of enslaved and free Black women to assert their agency by applying post-colonial theory, African-American Literary theory, and Black feminist theory to better understand the rhetorical strategies they use in discussing Black women’s oppression. Centering their texts will aid in preserving Black women’s visibility, but also nurturing Black women’s written history too. . . .""",women; black women; slavery; slave narratives; sexualization,textual analysis; creative writing,creative writing; literary studies,Laura Decker,South Carolina,33.91384458,-80.54298951,,,English,,,pdf,enght009.pdf,/objects/enght009.pdf,/objects/small/enght009_sm.jpg,/objects/thumbs/enght009_th.jpg,,
"Galvez, Elizabeth",enght011.pdf,ht008,thesis,"""The Journey:"" Examining Multiple Modes of Composition and Process at the College Level",2022-12,,,"Introduction: ""There’s a student who sits patiently at their desk. A pencil is meticulously placed to the left hand side of their SAT workbook. You can hear their labored breath, shaking like a bird taking flight, struggling to compose itself. If they could articulate the millions of thoughts, emotions, and feelings coursing through their mind, what would they look like? The student looks around the room for comfort, looking for even a hint about what the writing prompts will contain, scrounging for the lost memories of “incorporating evidence”, what does a thesis statement look like? There’s so many kinds, which ones will the exam reviewers like? Which one will they grade as “the best”? A world of unknowns framed by the time limit they will have to write under. . . . """,students; writing; multimodality; composition; Writing Center; Gloria Anzaldúa,qualitative research; interviews; tasks,writing studies; qualitative research,,Nevada State University Writing Center,35.98330936,-114.9392226,,,English,,,pdf,enght011.pdf,/objects/enght011.pdf,/objects/small/enght011_sm.jpg,/objects/thumbs/enght011_th.jpg,,
"Mabilog, Eduardo",enght017.pdf,ht009,thesis,"""Learning to Do Better: The Anti-Racist English Composition Classroom""",2020-05,,,"Introduction: ""This opening quote by Young comes from a response to an audience member who was verbally grappling with their inability to see the violence taking place and enabled through the promotion of a standardized English in the college classroom. Notably, this aspect of “justice” is immediately connected to the violence done to Black lives as Young is presenting “Making Black Lives Matter in Online Spaces: Lessons for Critical Literacy Education” at the Symposium on Writing at the University of Washington Tacoma. For Young the oppression and dominance of white literacy is a real violence upon Black lives as he connects this enforcement to portrayals of physical attack on Black lives in educational settings and the use of African American Vernacular to the justification of criminalizing Black identity. It is important to note that the physicality of this violence is merely one layer to the systematic integration of oppression created through the enforcement of a white education. . . .""",classroom; students; marginalization; composition; writing; racism; antiracism; privilege; oppression,textual analysis,writing studies,Katherine Tucker,Nevada State University,35.98330936,-114.9392226,,,English,,,pdf,enght017.pdf,/objects/enght017.pdf,/objects/small/enght017_sm.jpg,/objects/thumbs/enght017_th.jpg,,
"Matteson, Samantha",enght018.pdf,ht010,thesis,Ditching the Rubric: Analyzing the effects of ungrading prctices on student writing confidence,2023-05,,,"Abstract: For many high school students, grades can define a lot about their academic identity. For Self-Identified high achieving students, the reliance on grades for academic validation can be even worse. To separate grades from learning, many educators and scholars look towards going “gradeless” to remove grades as external motivational factors for doing well in school, as well as the inherent ranking of students that occurs with traditional grading practices. This essays questions just how much say grades have in determining a student’s writing confidence, and how ungrading can affect said writing confidence. The research performed suggests a notably strong link between grades and how students determine if they are good at writing. Research performed also suggested that students saw an increase in writing confidence when compared to traditional grading methods. The author notes the limitations of this research, while continuing to argue the effectiveness of ungrading as a viable alternative to traditional rubric based grading.",students; writing; classroom; grades; ungrading; confidence,qualitative research; surveys,writing studies; education,Rachel Herzl-Betz,Clark County School District,36.11444924,-115.1119906,,,English,,,pdf,enght018.pdf,/objects/enght018.pdf,/objects/small/enght018_sm.jpg,/objects/thumbs/enght018_th.jpg,,
